Start_Date,End_Date,Look_Ahead_Return,Cumulative_Return,AUTO_weight,BANK_weight,CHEMICALS_weight,CONSUMER DURABLES_weight,FINANCIAL SERVICES_weight,FMCG_weight,HEALTHCARE_weight,IT_weight,MEDIA_weight,METAL_weight,OIL & GAS_weight,PHARMA_weight,PRIVATE BANK_weight,PSU BANK_weight,REALTY_weight
2013-01-02,2014-01-01,0.11738811925412773,0.11738811925412729,1.2559928411466462e-08,1.2544104911765951e-08,9.86096549275048e-09,2.2801493461699872e-07,1.2650416030277725e-08,0.9999996257091812,1.378827596829617e-08,5.527765461932831e-09,6.117648084217796e-09,3.857486723198753e-09,4.656208934816825e-09,1.832721580300403e-08,2.884259937766312e-08,7.599997646012958e-09,3.924549173189586e-09
2014-01-02,2015-01-09,0.2056388131598983,0.34716648593651844,1.5170726895868399e-06,6.240482702469827e-07,8.573069777378528e-07,9.317270468057399e-07,6.484988409446163e-07,0.9332956336964666,4.95296091652844e-06,2.438807413516387e-06,9.727532021716213e-07,2.7970191709360737e-07,4.905934014729103e-07,0.06668794081199682,1.1586696099551554e-06,3.219868022034062e-07,2.754562988785848e-07
2015-01-12,2016-01-13,-0.044207451437479395,0.28761168893128053,0.13620539467210385,1.0922467142183789e-07,2.7446802422026623e-07,1.2704311993553187e-07,9.883218874348088e-08,1.1475274488504323e-07,1.8070707193162019e-06,9.46814948157125e-08,1.186211547009484e-07,2.3275579179673387e-08,3.509964268086419e-08,0.32611850539685505,0.5376731964193366,4.4246199038710946e-08,2.7660463561213362e-08
2016-01-14,2017-01-17,-0.07303248976624399,0.1935742014365116,1.4622344926746759e-06,5.810029612974539e-07,2.1879775528305378e-06,1.5296344760422183e-06,6.00884515074524e-07,5.562446811423947e-07,0.9892406298718275,0.010165249839662093,8.049966269906165e-07,2.0537781424158511e-07,5.458441652417167e-07,0.0005837514132469671,1.0718187739306881e-06,2.3844000997600355e-07,2.1762442288475777e-07
2017-01-18,2018-01-18,0.6783693109950661,1.0032583100864856,6.8240855711066566e-06,1.366274140907006e-07,0.6340208722747211,0.28350494411754723,1.2316944348292472e-07,1.7221778877602238e-07,5.334456280218038e-07,9.257733825052262e-08,1.1535650303674857e-07,2.82363975688217e-08,1.046195651832759e-07,3.074697393977914e-07,0.08068901421922758,2.7010710805512434e-08,1.720616397292395e-08
2018-01-19,2019-01-24,-0.08238768101246885,0.8382145034495019,2.3412271479226407e-07,2.448098488509933e-07,0.1394501736364931,0.8605460550532904,2.6573652593392184e-07,2.1111824302428124e-07,1.262760951605385e-07,1.4925834037451508e-07,3.199236865622861e-07,3.602404291636749e-07,3.7180885846017683e-07,1.1747393947497427e-07,2.9149672108520336e-07,1.3889688388278936e-07,8.128088551262144e-07
2019-01-25,2020-01-31,0.16685621557045316,1.1449320189018057,5.202857332194356e-07,7.267127151957999e-06,0.9800344959588843,1.776326366936709e-05,3.1775774899540715e-06,2.4514913295713063e-06,3.611824546187293e-07,1.579971021748113e-06,4.120714844559138e-07,4.24731981474911e-06,2.1293363511391056e-06,3.3312394439751735e-07,0.019922766294646673,7.922365540365822e-07,1.1534353712361173e-06
2020-02-01,2021-02-01,0.24686387102427676,1.6744382401718196,1.709616269308591e-07,9.738960174292072e-07,1.982824947196457e-06,0.9786319734178931,0.02135127739440476,5.361095143586383e-07,1.8704743864930184e-07,1.208904516250244e-06,1.4208722603884686e-07,1.878359725443074e-07,3.9710405276331704e-07,1.6477728280281043e-07,8.927010876469876e-07,1.7264462996102675e-07,9.494791757360882e-06
2021-02-02,2022-02-03,0.3340622058787852,2.567866978170187,1.550991039792903e-08,4.9703225917260635e-08,0.06489905895744134,0.09052827843761517,2.9267602850443214e-07,8.19124382466017e-08,1.2833132918388123e-07,0.6401095608377853,8.160428843969102e-09,1.338020350657955e-08,3.2215287468304515e-08,9.061249236941099e-08,4.140924847168311e-08,9.429953257027076e-09,2.1703265160266863e-08
2022-02-04,2023-02-06,-0.055761879742842635,2.3689160087950047,4.934800682547982e-07,5.558903495894908e-07,0.5719911388522085,2.5958426774440712e-05,7.088465445589693e-07,7.419219740601788e-07,1.9725193824682584e-06,0.26682379469500167,3.54427432619145e-07,9.115197845747388e-07,8.896293784593784e-07,1.3124918820255665e-06,4.3514788076145976e-07,3.7816751815378804e-07,1.1683046850299242e-06
2023-02-07,2024-02-09,0.09594378201991427,2.6921425519862234,6.128195396893428e-08,2.9737744750040186e-08,0.5318107841845837,5.3823971078016387e-08,2.7766225136322512e-08,2.0180546588579158e-07,4.69248452309887e-07,0.1443866305611527,1.7846898283732702e-08,0.07906344217105987,4.7543746586575025e-08,2.1789812097727111e-07,2.427527939223726e-08,7.472333589650819e-08,2.0999934814741234e-08
